dates,tmin, tmax, pluie, neige, soleil, een
1950-01-01,-15.3,-1.9,0.0,0.0,0.5,-1
1950-01-02,-6.4,1.2,0.3,0.0,0.5,-1
1950-01-03,-1.8,9.2,0.7,0.0,0.5,-1
1950-01-04,0.0,7.4,0.1,0.2,0.5,-1
1950-01-05,-19.1,-13.2,0.0,0.0,0.5,-1
1950-01-06,-17.8,-9.8,0.0,0.0,0.5,-1
1950-01-07,-17.0,-10.3,0.0,0.0,0.5,-1
1950-01-08,-30.1,-16.6,0.0,0.1,0.5,-1
1950-01-09,-27.7,-7.2,0.0,0.0,0.5,-1
1950-01-10,-16.2,2.4,0.3,0.0,0.5,-1
1950-01-11,-16.3,-12.9,0.0,0.0,0.5,-1
1950-01-12,-22.4,-8.7,0.0,0.0,0.5,-1
1950-01-13,-18.5,5.8,1.5,0.2,0.5,-1
1950-01-14,-15.7,5.2,0.3,0.0,0.5,-1
1950-01-15,-19.6,1.7,0.0,0.1,0.5,-1
1950-01-16,-16.6,-4.8,0.0,0.1,0.5,-1
1950-01-17,-19.5,-7.2,0.0,0.6,0.5,-1
1950-01-18,-18.5,-6.4,0.0,0.4,0.5,-1
1950-01-19,-35.9,-19.0,0.0,0.0,0.5,-1
1950-01-20,-36.0,-19.4,0.0,0.2,0.5,-1
1950-01-21,-28.3,-8.8,0.0,0.1,0.5,-1
1950-01-22,-17.2,-4.4,0.0,0.2,0.5,-1
1950-01-23,-15.5,-14.4,0.0,0.0,0.5,-1
1950-01-24,-23.3,1.1,0.2,0.1,0.5,-1
1950-01-25,-17.2,13.3,1.6,0.0,0.5,-1
1950-01-26,-2.7,0.5,0.0,0.0,0.5,-1
1950-01-27,-24.9,-12.7,0.0,0.0,0.5,-1
1950-01-28,-19.9,1.6,0.0,0.0,0.5,-1
1950-01-29,-11.0,2.7,0.0,0.1,0.5,-1
1950-01-30,-21.6,-17.2,0.0,0.0,0.5,-1
1950-01-31,-24.4,-13.8,0.0,0.2,0.5,-1
1950-02-01,-21.0,-6.1,0.0,0.2,0.5,-1
1950-02-02,-24.4,-4.4,0.0,0.3,0.5,-1
1950-02-03,-21.6,-7.2,0.0,0.0,0.5,-1
1950-02-04,-15.5,-11.6,0.0,0.0,0.5,-1
1950-02-05,-24.4,-13.8,0.0,0.3,0.5,-1
1950-02-06,-20.5,-8.3,0.0,0.1,0.5,-1
1950-02-07,-27.1,-16.6,0.0,0.0,0.5,-1
1950-02-08,-29.4,-8.3,0.0,0.1,0.5,-1
1950-02-09,-26.0,-6.6,0.0,0.3,0.5,-1
1950-02-10,-16.0,-2.7,0.0,0.1,0.5,-1
1950-02-11,-12.7,-2.2,0.0,0.2,0.5,-1
1950-02-12,-15.5,-6.6,0.0,0.0,0.5,-1
1950-02-13,-17.2,-2.7,0.0,0.0,0.5,-1
1950-02-14,-17.7,-4.4,0.0,0.5,0.5,-1
1950-02-15,-9.9,-2.7,0.0,0.6,0.5,-1
1950-02-16,-4.9,-1.1,0.0,0.1,0.5,-1
1950-02-17,-6.1,-2.7,0.0,0.0,0.5,-1
