Nom 				min 		default 	max
efficacite_evapo_ete		0.5 		1.125		1.75
efficacite_evapo_hiver 		0 		0.1 		0.3
taux_fonte_jour			0.1		0.135		0.5
taux_fonte_nuit			0.05		0.15		0.3
temp_fonte_jour			-4		0		4
temp_fonte_nuit			-4		0		4
temp_ref_pluie			-2		0		2
effet_redoux			1.1 		2.05 		3
effet_gel			1		5.5 		10
effet_sol 			5		20		35
seuil_min			1		3.5 		6
sol_min				0.05		2.525 		10
sol_max				10		12.5		50
nappe_max			8		15.5		50
portion_ruissellement_surface 	0.25		0.4 		0.55
portion_ruissellement_sol_max	0.2		0.475		0.8
taux_vidange_sol_min		0.01		0.025		0.04
taux_vidange_nappe		0.008		0.0165		0.025
taux_vidange_inter		0.4		0.675		0.95
mode_hydrogramme_surface 	0.5		1.75		3
forme_hydrogramme_surface	0.7		1.85		3
mode_hydrogramme_inter 		1		6.5		10
forme_hydrogramme_inter		0.3 		2.15		4
curve_number			25		75		100
puissance_K_s_1			-3		1		4
potentiel_matriciel		1		75		150
coeff_recession_nappe		0.6		0.98		0.999
rendement_spécifique_nappe	0.01		0.02		0.5
taux_de_fonte_1			0.1		0.1		0.6
taux_de_fonte_2			0.01		0.1		0.4
taux_de_fonte_3			0.01		0.1		0.4
temperature_fonte_1		-4		0		4
temperature_fonte_2		-2		-1		0
temperature_fonte_3		-2		-1		0
puissance_K_s_surf 		-4		-2		-1
capacite_retenue		0.02		0.02		0.13
indice_distr_taille_pores_1	4		4		12
indice_distr_taille_pores_2	4		4		12
puissance_K_s_2			-3		2		4
epaisseur_couche_1		5		10		100
epaisseur_couche_2		10		30		500
point_fletrissement		0.05		0.05		0.25
capacite_champ_1		0.1 		0.1		0.3
capacite_champ_2		0.1		0.1		0.3
porosite_couche_1		0.1 		0.2 		0.4
porosite_couche_2		0.1		0.2 		0.4
coeff_stefan			0.7		2.5 		2.7
coeff_volume_max		1		2		3
coeff_surface_normale		0.1 		0.2		0.4
puissance_cond_hydrau_sat	-2		0		-1
